"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 2",1,0,106007,1,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",1,6283122892450,6283123092660,0,0,4,4,16,256,1,1,104857600,1,1
"KERNEL_DISPATCH","Agent 2",1,0,106007,2,8,"__amd_rocclr_copyBuffer",2,6283123180497,6283123184105,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,106007,3,8,"__amd_rocclr_copyBuffer",3,6283123220466,6283123224115,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,106007,4,8,"__amd_rocclr_copyBuffer",4,6283193418221,6283193421509,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,106007,5,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",5,6283224349573,6283224551467,0,0,4,4,16,256,1,1,105280000,1,1
"KERNEL_DISPATCH","Agent 2",1,0,106007,6,8,"__amd_rocclr_copyBuffer",6,6283224702125,6283224712468,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,106007,7,8,"__amd_rocclr_copyBuffer",7,6283224747547,6283224753119,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",2,1,106007,8,14,"void arcto::lowlevel::lz4CompressBatchKernel<unsigned char>(unsigned char const* const*, unsigned long const*, unsigned char* const*, unsigned long*, unsigned short*, unsigned int, unsigned long)",8,6283225913847,6283247084516,1024,0,68,4,64,64,4,1,25600,4,1
"KERNEL_DISPATCH","Agent 2",1,0,106007,9,8,"__amd_rocclr_copyBuffer",9,6283247346184,6283247350073,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,106007,10,8,"__amd_rocclr_copyBuffer",10,6283249496774,6283249501986,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",2,1,106007,11,15,"arcto::lowlevel::lz4DecompressBatchKernel(unsigned char const* const*, unsigned long const*, unsigned long const*, unsigned long, unsigned char* const*, unsigned long*, arctoStatus_t*, bool)",11,6283249559315,6283251039319,1024,0,68,4,80,64,2,1,51200,2,1
"KERNEL_DISPATCH","Agent 2",1,0,106007,12,8,"__amd_rocclr_copyBuffer",12,6283251111120,6283251114167,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,106007,13,8,"__amd_rocclr_copyBuffer",13,6283251144235,6283251146560,0,0,16,0,32,512,1,1,512,1,1
