Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,medium_TTI_100.bin,104857600,100.00,16384,1.06,9.90,182.65,10.594,0.574,28.568,27.039,66.201,0.001655,0.4392,5.0344,0.4746,0.0169,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
lz4,large_TTI_1024.bin,719323136,686.00,16384,1.04,11.19,160.40,64.268,4.484,197.640,190.197,452.106,0.001464,0.0549,0.4092,0.3153,0.0114,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
snappy,medium_TTI_100.bin,104857600,100.00,16384,1.05,23.82,81.24,4.403,1.291,28.788,27.393,60.584,0.000688,1.0620,0.4670,0.1758,0.0074,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
snappy,large_TTI_1024.bin,719323136,686.00,16384,1.03,28.60,64.51,25.147,11.150,197.521,190.961,413.630,0.000573,0.0477,0.3310,0.0420,0.0570,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
cascaded,medium_TTI_100.bin,104857600,100.00,16384,1.05,42.62,169.76,2.460,0.618,28.716,27.436,58.612,0.000384,4.9217,8.5914,0.2235,0.0304,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
cascaded,large_TTI_1024.bin,719323136,686.00,16384,1.03,57.42,204.79,12.528,3.512,197.882,192.163,402.574,0.000285,0.3767,0.4900,0.0818,0.0084,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
