Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,1048576,1.04,3.35,86.88,214.879,8.280,13.210,12.726,240.815,0.313235,0.0531,0.7352,3.5147,0.0698,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_042058
lz4,medium_TTI_100.bin,104857600,100.00,1048576,1.06,0.52,18.10,200.641,5.793,1.998,1.893,204.532,2.006413,0.0069,0.3056,2.6267,0.0990,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_042058
snappy,large_TTI_1024.bin,719323136,686.00,1048576,1.03,27.16,75.57,26.490,9.519,13.189,12.744,52.423,0.038614,1.1158,10.5218,1.2190,2.0120,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_042058
snappy,medium_TTI_100.bin,104857600,100.00,1048576,1.05,4.38,12.45,23.965,8.424,1.939,1.844,27.749,0.239649,0.0445,0.0658,0.2481,0.0445,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_042058
cascaded,large_TTI_1024.bin,719323136,686.00,1048576,1.02,74.83,146.75,9.613,4.902,13.337,13.043,35.993,0.014013,0.0855,0.2623,0.0110,0.0088,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_042058
cascaded,medium_TTI_100.bin,104857600,100.00,1048576,1.04,12.18,22.00,8.612,4.767,1.925,1.853,12.390,0.086120,0.0590,0.0183,0.0421,0.0040,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_042058
