"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"HIP_API",36254,882554571,24343.646798,77.67,41,197447030,1366602.859254
"KERNEL_DISPATCH",73,162223117,2222234.479452,14.28,2245,21748041,6313434.396579
"MEMORY_COPY",12800,91525443,7150.425234,8.05,5893,23973,1125.580383
