"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"MEMORY_COPY_HOST_TO_DEVICE",6400,51217158,8002.680938,55.96,6494,23973,1027.217914
"MEMORY_COPY_DEVICE_TO_HOST",6400,40308285,6298.169531,44.04,5893,7016,161.174321
