GPUArch,EnvLabel,Campaign,Mode,ChunkSize,ChunkSizeKiB,Algorithm,Dataset,Size,FileSizeMB,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,4194304,4096,cascaded,tti,medium,100.00,1.04,4.88,4.25,21.476,24.687,15.316,14.737,51.528
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,4194304,4096,cascaded,tti,large,686.00,1.02,27.03,27.96,26.612,25.726,105.232,102.995,234.840
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,65536,64,lz4,tti,medium,100.00,1.06,5.84,92.58,17.951,1.133,14.934,14.145,47.030
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,65536,64,lz4,tti,large,686.00,1.04,7.42,147.77,96.991,4.868,104.158,100.318,301.466
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,65536,64,snappy,tti,medium,100.00,1.05,23.81,105.97,4.405,0.990,15.191,14.450,34.046
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,65536,64,snappy,tti,large,686.00,1.03,26.08,75.27,27.584,9.556,104.270,100.767,232.621
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,65536,64,cascaded,tti,medium,100.00,1.04,55.80,188.51,1.879,0.556,15.174,14.557,31.611
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,65536,64,cascaded,tti,large,686.00,1.03,61.06,173.54,11.781,4.145,104.273,101.673,217.727
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,8192,8,lz4,tti,medium,100.00,1.06,9.74,146.00,10.771,0.718,51.546,48.795,111.112
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,8192,8,lz4,tti,large,686.00,1.04,11.78,159.29,61.057,4.516,372.442,358.492,791.992
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,8192,8,snappy,tti,medium,100.00,1.05,19.41,56.62,5.401,1.852,51.557,49.072,106.030
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,8192,8,snappy,tti,large,686.00,1.03,29.02,62.93,24.791,11.431,371.980,359.726,756.496
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,8192,8,cascaded,tti,medium,100.00,1.05,34.31,143.97,3.056,0.728,51.380,49.020,103.457
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,baseline,8192,8,cascaded,tti,large,686.00,1.03,53.37,181.03,13.479,3.973,372.103,360.846,746.428
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,1048576,1024,lz4,tti,medium,100.00,1.06,1.21,23.46,86.656,4.469,3.805,3.605,94.067
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,1048576,1024,lz4,tti,large,686.00,1.04,6.29,80.53,114.443,8.932,26.684,25.707,166.834
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,1048576,1024,snappy,tti,medium,100.00,1.05,5.95,15.03,17.632,6.975,3.898,3.707,25.236
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,1048576,1024,snappy,tti,large,686.00,1.03,17.07,70.73,42.142,10.170,26.181,25.297,93.620
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,1048576,1024,cascaded,tti,medium,100.00,1.04,17.44,15.91,6.013,6.592,3.874,3.727,13.614
gfx1100,RX7900XT,RX7900XT_CHUNK_SWEEP_20260517_235720,pinned,1048576,1024,cascaded,tti,large,686.00,1.02,45.78,77.68,15.714,9.260,26.710,26.122,68.546
