Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp,Mode,ZfpParam,AllocMs,MemcpyH2HMs,PeakPinnedBytes,AdaptiveWindowBytes,AdaptiveNumWindows,MaxAbsDiff,RMSE,PSNR,MaxRelErr,AmplitudeRange,Campaign
lz4,xlarge_binary_4096.bin,4294967296,4096.0,65536,3.24,8.39,148.90,512.054,28.844,802.189,247.387,1561.630,0.007813,0.0158,0.2499,0.9658,0.0485,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
lz4,xlarge_binary_4096.bin,4294967296,4096.0,65536,3.24,8.39,148.63,512.086,28.897,153.410,47.310,712.806,0.007814,0.0150,0.3396,0.9181,0.0660,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,540.832,477.362,4294967296,0,0,,,,,,larochette_FULL_20260526_055836
snappy,xlarge_binary_4096.bin,4294967296,4096.0,65536,1.91,25.22,58.50,170.317,73.420,154.138,80.510,404.966,0.002599,0.0497,0.0200,0.3386,0.0250,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,8.427,348.817,67108864,67108864,64,,,,,,larochette_FULL_20260526_055836
snappy,xlarge_binary_4096.bin,4294967296,4096.0,65536,1.91,25.22,58.46,170.318,73.471,788.668,411.939,1370.925,0.002599,0.0641,0.2281,0.4383,0.2925,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
snappy,xlarge_binary_4096.bin,4294967296,4096.0,65536,1.91,25.23,58.49,170.249,73.431,156.066,81.516,407.831,0.002598,0.0163,0.0183,0.1099,0.0229,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,676.985,649.886,4294967296,0,0,,,,,,larochette_FULL_20260526_055836
cascaded,medium_random_100.bin,104857600,100.0,65536,1.00,31.08,150.37,3.374,0.697,4.377,4.378,12.129,0.002108,0.1238,5.6932,0.0134,0.0299,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,12.615,16.525,67108864,67108864,2,,,,,,larochette_FULL_20260526_055836
cascaded,medium_random_100.bin,104857600,100.0,65536,1.00,31.11,151.17,3.370,0.694,20.087,20.090,43.547,0.002106,0.1153,2.4179,0.0126,0.0111,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
cascaded,medium_random_100.bin,104857600,100.0,65536,1.00,31.09,151.78,3.373,0.691,4.376,4.377,12.126,0.002108,0.1221,2.8553,0.0133,0.0128,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,28.987,61.318,104857600,0,0,,,,,,larochette_FULL_20260526_055836
lz4,medium_random_100.bin,104857600,100.0,65536,1.00,2.22,91.15,47.288,1.150,3.774,3.789,54.851,0.029555,0.0254,0.5514,0.5643,0.0069,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,8.951,10.228,67108864,67108864,2,,,,,,larochette_FULL_20260526_055836
lz4,medium_random_100.bin,104857600,100.0,65536,1.00,2.22,90.87,47.320,1.154,21.142,21.225,89.688,0.029575,0.0298,0.7773,0.6671,0.0098,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
lz4,medium_random_100.bin,104857600,100.0,65536,1.00,2.22,92.16,47.244,1.138,4.338,4.355,55.938,0.029527,0.0328,2.3555,0.7400,0.0292,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,28.795,21.802,104857600,0,0,,,,,,larochette_FULL_20260526_055836
snappy,medium_random_100.bin,104857600,100.0,65536,0.99,21.39,96.30,4.902,1.089,3.768,3.798,12.468,0.003064,0.3464,0.7671,0.0803,0.0087,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,6.180,7.549,67108864,67108864,2,,,,,,larochette_FULL_20260526_055836
snappy,medium_random_100.bin,104857600,100.0,65536,0.99,20.98,96.11,4.997,1.091,21.773,21.944,48.714,0.003123,1.6032,0.9207,0.6096,0.0105,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
snappy,medium_random_100.bin,104857600,100.0,65536,0.99,21.30,96.47,4.923,1.087,3.757,3.786,12.466,0.003077,0.4075,1.1509,0.0948,0.0129,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,14.359,9.220,104857600,0,0,,,,,,larochette_FULL_20260526_055836
cascaded,small_random_10.bin,10485760,10.0,65536,1.00,13.82,114.26,0.759,0.092,0.470,0.470,1.700,0.004742,0.0615,1.6902,0.0034,0.0014,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,2.035,1.657,10485760,10485760,1,,,,,,larochette_FULL_20260526_055836
cascaded,small_random_10.bin,10485760,10.0,65536,1.00,13.82,113.98,0.759,0.092,2.363,2.363,5.484,0.004742,0.0651,1.5165,0.0037,0.0013,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
cascaded,small_random_10.bin,10485760,10.0,65536,1.00,13.78,112.93,0.761,0.093,0.472,0.472,1.705,0.004756,0.0669,3.4708,0.0038,0.0033,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,2.315,1.708,10485760,0,0,,,,,,larochette_FULL_20260526_055836
lz4,small_random_10.bin,10485760,10.0,65536,1.00,0.71,24.49,14.789,0.428,0.466,0.468,15.723,0.092433,0.0203,0.3118,0.4979,0.0057,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,1.875,1.567,10485760,10485760,1,,,,,,larochette_FULL_20260526_055836
lz4,small_random_10.bin,10485760,10.0,65536,1.00,0.71,24.52,14.801,0.428,2.250,2.258,19.309,0.092504,0.0229,0.3332,0.5738,0.0061,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
lz4,small_random_10.bin,10485760,10.0,65536,1.00,0.71,24.54,14.696,0.427,0.470,0.471,15.637,0.091852,0.0005,0.2476,0.0108,0.0044,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,2.307,1.761,10485760,0,0,,,,,,larochette_FULL_20260526_055836
snappy,small_random_10.bin,10485760,10.0,65536,0.99,7.63,30.53,1.374,0.343,0.455,0.459,2.288,0.008587,0.0180,0.2950,0.0032,0.0033,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,1.942,1.965,10485760,10485760,1,,,,,,larochette_FULL_20260526_055836
snappy,small_random_10.bin,10485760,10.0,65536,0.99,7.62,30.53,1.376,0.344,2.313,2.331,6.019,0.008598,0.0128,0.4393,0.0023,0.0051,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
snappy,small_random_10.bin,10485760,10.0,65536,0.99,7.63,30.52,1.375,0.344,0.470,0.474,2.319,0.008593,0.0206,0.3539,0.0037,0.0041,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,2.220,1.714,10485760,0,0,,,,,,larochette_FULL_20260526_055836
cascaded,large_random_1024.bin,1073741824,1024.0,65536,1.00,33.93,298.55,31.644,3.597,43.142,43.147,117.932,0.001931,0.0183,6.0686,0.0171,0.0729,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,16.130,151.265,67108864,67108864,16,,,,,,larochette_FULL_20260526_055836
cascaded,large_random_1024.bin,1073741824,1024.0,65536,1.00,33.74,296.08,31.825,3.627,195.497,195.521,422.843,0.001942,0.6909,7.4234,0.7020,0.0902,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
cascaded,large_random_1024.bin,1073741824,1024.0,65536,1.00,33.94,298.36,31.641,3.599,38.362,38.366,108.369,0.001931,0.0150,5.1808,0.0140,0.0631,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,131.466,89.831,1073741824,0,0,,,,,,larochette_FULL_20260526_055836
lz4,large_random_1024.bin,1073741824,1024.0,65536,1.00,2.38,156.97,451.690,6.841,38.536,38.688,528.914,0.027569,0.0047,3.3981,0.9018,0.1471,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,6.870,84.092,67108864,67108864,16,,,,,,larochette_FULL_20260526_055836
lz4,large_random_1024.bin,1073741824,1024.0,65536,1.00,2.38,156.56,451.467,6.858,168.642,169.306,789.415,0.027555,0.0041,2.7973,0.7873,0.1240,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
lz4,large_random_1024.bin,1073741824,1024.0,65536,1.00,2.38,155.78,451.747,6.893,38.359,38.510,528.616,0.027572,0.0056,3.1185,1.0799,0.1377,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,166.685,115.310,1073741824,0,0,,,,,,larochette_FULL_20260526_055836
snappy,large_random_1024.bin,1073741824,1024.0,65536,0.99,27.21,124.76,39.465,8.607,38.547,38.850,116.861,0.002409,0.0803,0.8635,0.1165,0.0593,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,6.404,87.460,67108864,67108864,16,,,,,,larochette_FULL_20260526_055836
snappy,large_random_1024.bin,1073741824,1024.0,65536,0.99,27.13,124.39,39.572,8.632,171.327,172.673,383.573,0.002415,0.3315,0.5086,0.5141,0.0350,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
snappy,large_random_1024.bin,1073741824,1024.0,65536,0.99,27.09,124.70,39.634,8.611,38.363,38.665,116.663,0.002419,0.5644,0.8146,0.9230,0.0559,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,131.025,145.014,1073741824,0,0,,,,,,larochette_FULL_20260526_055836
cascaded,xlarge_random_4096.bin,4294967296,4096.0,65536,1.00,34.29,359.16,125.265,11.958,154.143,154.162,433.570,0.001911,0.0051,14.1247,0.0186,0.5862,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,10.358,360.393,67108864,67108864,64,,,,,,larochette_FULL_20260526_055836
cascaded,xlarge_random_4096.bin,4294967296,4096.0,65536,1.00,34.29,362.27,125.262,11.856,917.815,917.927,1961.003,0.001911,0.0065,3.1040,0.0236,0.1004,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
cascaded,xlarge_random_4096.bin,4294967296,4096.0,65536,1.00,34.23,362.58,125.461,11.846,153.410,153.429,432.300,0.001914,0.2850,2.0691,1.0917,0.0671,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,679.585,592.441,4294967296,0,0,,,,,,larochette_FULL_20260526_055836
lz4,xlarge_random_4096.bin,4294967296,4096.0,65536,1.00,2.42,185.51,1772.541,23.152,154.131,154.737,2081.409,0.027047,0.0009,0.8632,0.6242,0.1078,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,8.295,341.387,67108864,67108864,64,,,,,,larochette_FULL_20260526_055836
lz4,xlarge_random_4096.bin,4294967296,4096.0,65536,1.00,2.42,185.62,1772.942,23.139,671.897,674.542,3119.381,0.027053,0.0016,1.2338,1.1461,0.1537,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
lz4,xlarge_random_4096.bin,4294967296,4096.0,65536,1.00,2.42,184.97,1772.559,23.220,153.410,154.014,2079.984,0.027047,0.0015,1.3020,1.0610,0.1645,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,540.558,421.921,4294967296,0,0,,,,,,larochette_FULL_20260526_055836
snappy,xlarge_random_4096.bin,4294967296,4096.0,65536,0.99,27.72,127.80,154.940,33.607,154.124,155.335,464.400,0.002364,0.1004,0.4318,0.5711,0.1123,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,8.450,359.240,67108864,67108864,64,,,,,,larochette_FULL_20260526_055836
snappy,xlarge_random_4096.bin,4294967296,4096.0,65536,0.99,27.73,128.07,154.887,33.536,1226.341,1235.978,2617.206,0.002363,0.0698,0.7142,0.3944,0.1856,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
snappy,xlarge_random_4096.bin,4294967296,4096.0,65536,0.99,27.73,128.50,154.882,33.424,155.042,156.261,466.185,0.002363,0.0523,0.8286,0.2946,0.2152,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,537.733,419.905,4294967296,0,0,,,,,,larochette_FULL_20260526_055836
cascaded,medium_TTI_100.bin,104857600,100.0,65536,1.04,32.70,118.95,3.207,0.882,4.366,4.189,11.762,0.002004,0.1467,1.6670,0.0145,0.0125,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,13.809,17.057,67108864,67108864,2,,,,,,larochette_FULL_20260526_055836
cascaded,medium_TTI_100.bin,104857600,100.0,65536,1.04,32.65,119.23,3.212,0.879,20.549,19.714,43.474,0.002007,0.2009,1.5064,0.0199,0.0113,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
cascaded,medium_TTI_100.bin,104857600,100.0,65536,1.04,32.70,119.25,3.207,0.879,3.776,3.623,10.606,0.002004,0.1608,1.6286,0.0158,0.0121,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,17.061,11.773,104857600,0,0,,,,,,larochette_FULL_20260526_055836
lz4,medium_TTI_100.bin,104857600,100.0,65536,1.06,1.95,41.23,53.815,2.543,4.363,4.132,62.310,0.033634,0.0241,0.2101,0.6926,0.0129,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,13.546,20.181,67108864,67108864,2,,,,,,larochette_FULL_20260526_055836
lz4,medium_TTI_100.bin,104857600,100.0,65536,1.06,1.95,40.98,53.766,2.559,21.814,20.661,96.242,0.033604,0.0189,0.3150,0.5436,0.0198,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
lz4,medium_TTI_100.bin,104857600,100.0,65536,1.06,2.07,41.20,50.728,2.545,4.331,4.102,59.161,0.031705,0.0637,0.3523,1.7382,0.0218,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,29.024,23.881,104857600,0,0,,,,,,larochette_FULL_20260526_055836
snappy,medium_TTI_100.bin,104857600,100.0,65536,1.05,20.17,80.93,5.200,1.296,4.366,4.153,13.718,0.003250,1.7235,1.5555,0.7535,0.0255,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,13.779,20.052,67108864,67108864,2,,,,,,larochette_FULL_20260526_055836
snappy,medium_TTI_100.bin,104857600,100.0,65536,1.05,20.73,79.42,5.058,1.320,21.704,20.644,47.407,0.003161,0.3062,1.5654,0.0747,0.0268,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
snappy,medium_TTI_100.bin,104857600,100.0,65536,1.05,20.66,69.59,5.075,1.507,3.776,3.592,12.443,0.003172,0.3051,11.4924,0.0752,0.9646,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,20.809,13.368,104857600,0,0,,,,,,larochette_FULL_20260526_055836
zfp,medium_TTI_100.bin,104857600,100.0,65536,1.18,10.63,16.49,9.869,6.359,21.778,0.000,31.647,9.868620,1.5464,0.9247,4.0521,0.3450,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,acc,1e12,,,,,,2.7057e-10,1.8958e-11,177.88,1.8219e-08,1.4852e-02,larochette_FULL_20260526_055836
zfp,medium_TTI_100.bin,104857600,100.0,65536,5.24,19.39,38.79,5.407,2.703,24.500,0.000,29.907,5.407474,0.4152,1.3249,0.1143,0.1006,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,acc,1e3,,,,,,2.9350e-04,3.5141e-05,52.52,1.9762e-02,1.4852e-02,larochette_FULL_20260526_055836
zfp,medium_TTI_100.bin,104857600,100.0,65536,3.26,16.56,30.20,6.334,3.472,22.303,0.000,28.636,6.333607,0.1379,0.7047,0.0531,0.0843,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,acc,1e4,,,,,,1.9785e-05,2.5184e-06,75.41,1.3322e-03,1.4852e-02,larochette_FULL_20260526_055836
zfp,medium_TTI_100.bin,104857600,100.0,65536,2.52,16.47,28.12,6.365,3.729,22.501,0.000,28.866,6.365438,0.1595,0.3843,0.0625,0.0536,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,acc,1e5,,,,,,2.4706e-06,3.2536e-07,93.19,1.6635e-04,1.4852e-02,larochette_FULL_20260526_055836
zfp,medium_TTI_100.bin,104857600,100.0,65536,2.06,15.85,26.02,6.614,4.030,19.624,0.000,26.237,6.613727,0.2509,0.6043,0.1039,0.0964,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,acc,1e6,,,,,,2.8685e-07,4.0799e-08,111.22,1.9314e-05,1.4852e-02,larochette_FULL_20260526_055836
zfp,medium_TTI_100.bin,104857600,100.0,65536,1.27,12.50,15.55,8.392,6.744,24.962,0.000,33.354,8.391914,0.4948,2.9014,0.3526,5.5739,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,acc,1e9,,,,,,4.6566e-10,4.4528e-11,170.46,3.1354e-08,1.4852e-02,larochette_FULL_20260526_055836
zfp,medium_TTI_100.bin,104857600,100.0,65536,2.71,16.97,37.41,6.178,2.803,21.296,0.000,27.474,6.178332,0.1718,0.9195,0.0627,0.0753,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,prec,16,,,,,,1.2264e-05,8.7901e-07,84.56,8.2575e-04,1.4852e-02,larochette_FULL_20260526_055836
zfp,medium_TTI_100.bin,104857600,100.0,65536,1.64,14.24,20.20,7.364,5.190,26.238,0.000,33.602,7.363921,0.1135,3.7902,0.0591,4.7750,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,prec,24,,,,,,4.4635e-08,3.4686e-09,132.63,3.0054e-06,1.4852e-02,larochette_FULL_20260526_055836
zfp,medium_TTI_100.bin,104857600,100.0,65536,7.31,20.30,51.69,5.166,2.028,22.647,0.000,27.813,5.165708,0.4243,2.2892,0.1082,0.1097,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,prec,8,,,,,,2.5559e-03,1.6158e-04,39.27,1.7210e-01,1.4852e-02,larochette_FULL_20260526_055836
zfp,medium_TTI_100.bin,104857600,100.0,65536,2.00,25.42,26.93,4.125,3.893,21.146,0.000,25.271,4.124631,1.2727,1.3958,0.1987,0.2095,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,rate,16,,,,,,7.2585e-07,3.5087e-08,112.53,4.8873e-05,1.4852e-02,larochette_FULL_20260526_055836
zfp,medium_TTI_100.bin,104857600,100.0,65536,1.33,18.91,20.62,5.544,5.084,21.027,0.000,26.571,5.543760,0.1433,0.0853,0.0421,0.0209,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,rate,24,,,,,,2.9104e-09,1.3986e-10,160.52,1.9596e-07,1.4852e-02,larochette_FULL_20260526_055836
zfp,medium_TTI_100.bin,104857600,100.0,65536,8.00,50.44,56.52,2.079,1.855,22.550,0.000,24.629,2.079034,4.9433,1.7921,0.2169,0.0586,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,rate,4,,,,,,2.4137e-03,1.1728e-04,42.05,1.6252e-01,1.4852e-02,larochette_FULL_20260526_055836
zfp,medium_TTI_100.bin,104857600,100.0,65536,4.00,39.49,40.24,2.655,2.606,22.625,0.000,25.280,2.655048,0.5930,0.3985,0.0401,0.0254,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,rate,8,,,,,,1.8413e-04,8.1958e-06,65.16,1.2398e-02,1.4852e-02,larochette_FULL_20260526_055836
cascaded,small_TTI_10.bin,10485760,10.0,65536,1.61,14.51,25.20,0.723,0.416,0.457,0.283,1.463,0.004516,0.0285,0.0970,0.0014,0.0016,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,2.001,1.842,10485760,10485760,1,,,,,,larochette_FULL_20260526_055836
cascaded,small_TTI_10.bin,10485760,10.0,65536,1.61,14.50,25.10,0.723,0.418,2.351,1.457,4.531,0.004521,0.0689,0.1013,0.0035,0.0017,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
cascaded,small_TTI_10.bin,10485760,10.0,65536,1.61,14.52,25.16,0.722,0.417,0.469,0.290,1.481,0.004514,0.0388,0.1001,0.0019,0.0017,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,1.926,1.595,10485760,0,0,,,,,,larochette_FULL_20260526_055836
lz4,small_TTI_10.bin,10485760,10.0,65536,1.65,0.43,5.06,24.105,2.071,0.464,0.281,24.850,0.150658,0.0038,0.6250,0.2114,0.6438,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,2.190,1.757,10485760,10485760,1,,,,,,larochette_FULL_20260526_055836
lz4,small_TTI_10.bin,10485760,10.0,65536,1.65,0.43,5.11,24.219,2.051,2.383,1.444,28.046,0.151366,0.0047,0.5997,0.2627,0.5692,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
lz4,small_TTI_10.bin,10485760,10.0,65536,1.65,0.43,5.38,24.290,1.948,0.468,0.284,25.043,0.151815,0.0111,0.0213,0.6993,0.0077,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,2.412,1.707,10485760,0,0,,,,,,larochette_FULL_20260526_055836
snappy,small_TTI_10.bin,10485760,10.0,65536,1.60,5.24,14.66,2.002,0.715,0.467,0.292,2.761,0.012512,0.0221,0.0444,0.0085,0.0022,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,adaptive,,2.010,1.569,10485760,10485760,1,,,,,,larochette_FULL_20260526_055836
snappy,small_TTI_10.bin,10485760,10.0,65536,1.60,5.24,14.66,2.002,0.715,2.418,1.510,5.929,0.012510,0.0226,0.0460,0.0087,0.0023,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,baseline,,0.000,0.000,0,0,0,,,,,,larochette_FULL_20260526_055836
snappy,small_TTI_10.bin,10485760,10.0,65536,1.60,5.24,14.65,2.001,0.716,0.468,0.292,2.762,0.012505,0.0171,0.0421,0.0066,0.0021,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,pinned,,2.435,1.658,10485760,0,0,,,,,,larochette_FULL_20260526_055836
zfp,small_TTI_10.bin,10485760,10.0,65536,1.90,6.91,12.21,1.518,0.859,6.503,0.000,8.022,1.518242,1.6943,1.2205,0.3274,0.0829,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,acc,1e12,,,,,,2.9104e-10,1.0251e-11,182.93,2.0263e-08,1.4363e-02,larochette_FULL_20260526_055836
zfp,small_TTI_10.bin,10485760,10.0,65536,8.56,10.21,18.28,1.027,0.573,6.132,0.000,7.159,1.027267,0.3092,1.0101,0.0336,0.0391,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,acc,1e3,,,,,,2.8086e-04,2.8241e-05,54.13,1.9554e-02,1.4363e-02,larochette_FULL_20260526_055836
zfp,small_TTI_10.bin,10485760,10.0,65536,5.48,10.75,17.98,0.975,0.583,6.173,0.000,7.148,0.975344,0.2193,0.7208,0.0205,0.0206,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,acc,1e4,,,,,,1.6898e-05,1.9424e-06,77.38,1.1765e-03,1.4363e-02,larochette_FULL_20260526_055836
zfp,small_TTI_10.bin,10485760,10.0,65536,4.28,10.41,16.28,1.007,0.644,6.336,0.000,7.344,1.007426,0.3162,0.4960,0.0331,0.0207,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,acc,1e5,,,,,,2.2054e-06,2.4567e-07,95.34,1.5354e-04,1.4363e-02,larochette_FULL_20260526_055836
zfp,small_TTI_10.bin,10485760,10.0,65536,3.50,9.67,15.05,1.085,0.697,6.835,0.000,7.920,1.084914,0.2852,0.8347,0.0322,0.0415,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,acc,1e6,,,,,,2.4907e-07,3.0970e-08,113.33,1.7341e-05,1.4363e-02,larochette_FULL_20260526_055836
zfp,small_TTI_10.bin,10485760,10.0,65536,2.15,6.00,11.18,1.747,0.938,6.992,0.000,8.740,1.747351,1.2136,1.2907,0.2776,0.0950,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,acc,1e9,,,,,,4.6566e-10,3.2975e-11,172.78,3.2420e-08,1.4363e-02,larochette_FULL_20260526_055836
zfp,small_TTI_10.bin,10485760,10.0,65536,3.94,5.63,11.58,1.863,0.905,6.264,0.000,8.127,1.863117,0.2174,0.5158,0.0673,0.0411,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,prec,16,,,,,,1.1240e-05,4.9202e-07,89.31,7.8257e-04,1.4363e-02,larochette_FULL_20260526_055836
zfp,small_TTI_10.bin,10485760,10.0,65536,2.44,5.39,10.71,1.947,0.979,6.659,0.000,8.605,1.946570,0.2387,0.2463,0.0776,0.0231,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,prec,24,,,,,,4.2492e-08,1.9228e-09,137.47,2.9584e-06,1.4363e-02,larochette_FULL_20260526_055836
zfp,small_TTI_10.bin,10485760,10.0,65536,9.99,5.72,11.17,1.833,0.939,7.640,0.000,9.473,1.832624,1.3067,1.3433,0.3416,0.1034,anon-host,AMD Instinct MI210,gfx90a,MI210,30,5,20260526_055836,prec,8,,,,,,2.2678e-03,1.0360e-04,42.84,1.5789e-01,1.4363e-02,larochette_FULL_20260526_055836
