Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,4194304,1.04,0.91,29.34,790.243,24.513,13.080,12.600,815.923,4.594435,0.0093,0.0875,8.1596,0.0733,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_042200
lz4,medium_TTI_100.bin,104857600,100.00,4194304,1.06,0.14,5.19,765.398,20.217,1.927,1.825,769.150,30.615912,0.0011,0.0459,6.1441,0.1796,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_042200
snappy,large_TTI_1024.bin,719323136,686.00,4194304,1.03,6.89,21.31,104.362,33.759,13.113,12.671,130.146,0.606754,0.5485,0.0994,9.0151,0.1572,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_042200
snappy,medium_TTI_100.bin,104857600,100.00,4194304,1.05,1.08,3.17,96.864,33.041,1.928,1.833,100.624,3.874551,0.0333,0.0164,3.0584,0.1709,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_042200
cascaded,large_TTI_1024.bin,719323136,686.00,4194304,1.02,18.56,37.18,38.753,19.347,14.067,13.768,66.588,0.225310,2.1636,0.0710,6.0056,0.0370,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_042200
cascaded,medium_TTI_100.bin,104857600,100.00,4194304,1.04,3.04,5.53,34.518,18.962,1.928,1.855,38.300,1.380704,0.0148,0.0048,0.1689,0.0165,vianden-1,AMD Instinct MI300X,gfx942,MI300X_PINNED,10,2,20260518_042200
