Files,Duplicate data,Size in MB,Pages,Avg page size in KB,Max page size in KB,Ucompressed size in bytes,Compressed size in bytes,Compression ratio,Compression throughput (uncompressed) in GB/s,Decompression throughput (uncompressed) in GB/s,Compression time (ms),Decompression time (ms),Transfer H2D (ms),Transfer D2H (ms),Total time (ms),Avg chunk time (ms),Comp throughput stddev (GB/s),Decomp throughput stddev (GB/s),Comp time stddev (ms),Decomp time stddev (ms),t_alloc_ms,t_memcpy_h2h_ms,peak_pinned_bytes,adaptive_window_bytes,adaptive_num_windows,algo,size,mode
1,0,104.857600,1600,65.536000,65.536000,104857600,99736207,1.05,18.37,83.91,5.707,1.250,4.307,4.097,14.111,0.003567,3.8100,16.2763,1.3952,0.2805,17.186,6.202,67108864,67108864,2,snappy,100mb,adaptive
1,0,104.857600,1600,65.536000,65.536000,104857600,99736207,1.05,24.05,105.57,4.360,0.993,15.132,14.393,33.886,0.002725,0.0659,1.8403,0.0120,0.0174,0.000,0.000,0,0,0,snappy,100mb,baseline
1,0,104.857600,1600,65.536000,65.536000,104857600,99736207,1.05,19.93,90.79,5.261,1.155,4.497,4.277,14.035,0.003288,3.2373,12.0165,0.9789,0.1615,25.044,9.552,104857600,0,0,snappy,100mb,pinned
1,0,2147.483648,32768,65.536000,65.536000,2147483648,117918074,18.21,28.93,74.11,74.223,28.977,78.920,4.334,157.477,0.002265,0.0120,0.2454,0.0309,0.0958,18.198,103.603,67108864,67108864,32,snappy,2gb,adaptive
1,0,2147.483648,32768,65.536000,65.536000,2147483648,117918074,18.21,28.90,74.41,74.320,28.861,309.699,17.006,401.025,0.002268,0.0251,0.1101,0.0645,0.0427,0.000,0.000,0,0,0,snappy,2gb,baseline
1,0,2147.483648,32768,65.536000,65.536000,2147483648,117918074,18.21,28.89,74.11,74.322,28.979,78.186,4.293,156.801,0.002268,0.0389,0.2328,0.1002,0.0912,464.144,184.956,2147483648,0,0,snappy,2gb,pinned
1,0,4294.967296,65536,65.536000,65.536000,4294967296,276178223,15.55,28.65,84.52,149.909,50.813,154.667,9.945,314.521,0.002287,0.0262,0.1585,0.1370,0.0953,17.509,205.883,67108864,67108864,64,snappy,4gb,adaptive
1,0,4294.967296,65536,65.536000,65.536000,4294967296,276178223,15.55,28.66,84.32,149.857,50.938,641.225,41.233,832.314,0.002287,0.0162,0.1992,0.0849,0.1205,0.000,0.000,0,0,0,snappy,4gb,baseline
1,0,4294.967296,65536,65.536000,65.536000,4294967296,276178223,15.55,28.67,84.35,149.821,50.918,157.367,10.119,317.308,0.002286,0.0161,0.1434,0.0841,0.0867,901.982,372.011,4294967296,0,0,snappy,4gb,pinned
1,0,719.323136,10976,65.536000,65.536000,719323136,695158469,1.03,26.03,74.44,27.632,9.664,26.666,25.770,80.068,0.002517,0.4487,2.6899,0.4886,0.3666,18.838,41.647,67108864,67108864,11,snappy,686mb,adaptive
1,0,719.323136,10976,65.536000,65.536000,719323136,695158469,1.03,26.20,72.26,27.451,9.955,103.677,100.194,231.323,0.002501,0.0389,4.5312,0.0407,0.6794,0.000,0.000,0,0,0,snappy,686mb,baseline
1,0,719.323136,10976,65.536000,65.536000,719323136,695158469,1.03,26.25,73.74,27.403,9.755,26.076,25.200,78.680,0.002497,0.0075,3.9516,0.0079,0.5647,161.942,64.534,719323136,0,0,snappy,686mb,pinned
