Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,medium_TTI_100.bin,104857600,100.00,8192,1.06,9.17,142.95,11.437,0.734,4.251,4.024,19.713,0.000894,0.6620,0.6901,0.6984,0.0036,lunaris,RX7900XT,gfx1100,RX7900XT_PINNED,10,2,20260517_235720
lz4,large_TTI_1024.bin,719323136,686.00,8192,1.04,11.75,159.35,61.215,4.514,26.618,25.621,113.454,0.000697,0.0250,0.1196,0.1306,0.0034,lunaris,RX7900XT,gfx1100,RX7900XT_PINNED,10,2,20260517_235720
snappy,medium_TTI_100.bin,104857600,100.00,8192,1.05,18.17,54.55,5.771,1.922,4.180,3.978,13.929,0.000451,1.6854,0.1045,0.4435,0.0037,lunaris,RX7900XT,gfx1100,RX7900XT_PINNED,10,2,20260517_235720
snappy,large_TTI_1024.bin,719323136,686.00,8192,1.03,29.14,62.85,24.686,11.445,26.032,25.175,75.893,0.000281,0.3794,0.3662,0.3117,0.0666,lunaris,RX7900XT,gfx1100,RX7900XT_PINNED,10,2,20260517_235720
cascaded,medium_TTI_100.bin,104857600,100.00,8192,1.05,32.86,140.29,3.191,0.747,4.408,4.206,11.805,0.000249,2.7062,0.4731,0.2162,0.0025,lunaris,RX7900XT,gfx1100,RX7900XT_PINNED,10,2,20260517_235720
cascaded,large_TTI_1024.bin,719323136,686.00,8192,1.03,53.18,181.20,13.526,3.970,26.473,25.672,65.672,0.000154,1.8758,0.5621,0.4362,0.0122,lunaris,RX7900XT,gfx1100,RX7900XT_PINNED,10,2,20260517_235720
