Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
snappy,medium_TTI_100.bin,104857600,100.00,65536,1.05,23.63,106.53,4.438,0.984,16.004,15.222,35.663,0.002773,0.6065,2.1251,0.1218,0.0198,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
snappy,medium_binary_100.bin,104857600,100.00,65536,2.96,24.84,122.49,4.222,0.856,15.184,5.130,24.535,0.002639,0.0791,2.2954,0.0134,0.0165,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
snappy,medium_random_100.bin,104857600,100.00,65536,0.99,24.54,119.19,4.273,0.880,15.193,15.312,34.777,0.002670,0.0806,2.6546,0.0140,0.0201,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
snappy,medium_zeros_100.bin,104857600,100.00,65536,21.30,25.35,93.67,4.137,1.119,14.767,0.693,19.598,0.002586,0.0736,1.2030,0.0120,0.0146,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
snappy,small_TTI_10.bin,10485760,10.00,65536,1.60,9.42,23.26,1.113,0.451,1.734,1.083,3.930,0.006955,0.1527,0.2589,0.0184,0.0050,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
snappy,small_binary_10.bin,10485760,10.00,65536,2.96,9.94,29.18,1.055,0.359,1.727,0.583,3.365,0.006592,0.1977,0.4310,0.0216,0.0053,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
snappy,small_random_10.bin,10485760,10.00,65536,0.99,9.55,37.21,1.098,0.282,1.705,1.719,4.522,0.006860,0.1121,0.5438,0.0131,0.0040,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
snappy,small_zeros_10.bin,10485760,10.00,65536,21.30,9.70,24.35,1.081,0.431,1.709,0.080,2.870,0.006758,0.1692,0.4434,0.0193,0.0076,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
snappy,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.03,26.74,98.82,147.933,40.035,589.494,569.756,1307.183,0.002451,0.0232,0.3316,0.1284,0.1347,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
snappy,xlarge_binary_4096.bin,4294967296,4096.00,65536,2.96,28.17,109.88,152.492,39.088,645.128,217.974,1015.594,0.002327,0.0181,0.3083,0.0979,0.1100,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
snappy,xlarge_random_4096.bin,4294967296,4096.00,65536,0.99,27.53,106.72,156.014,40.245,645.586,650.660,1452.260,0.002381,0.0166,0.2567,0.0943,0.0968,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
snappy,xlarge_zeros_4096.bin,4294967296,4096.00,65536,21.30,28.88,85.41,148.717,50.285,644.809,30.275,823.800,0.002269,0.0216,0.2179,0.1110,0.1284,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
cascaded,large_TTI_1024.bin,719323136,686.00,65536,1.03,61.10,175.87,11.773,4.090,104.095,101.500,217.368,0.001073,0.5476,6.4255,0.1064,0.1628,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
cascaded,large_binary_1024.bin,1073741824,1024.00,65536,3.03,82.35,92.69,13.039,11.585,155.331,51.194,219.564,0.000796,0.1800,0.3429,0.0285,0.0428,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
cascaded,large_random_1024.bin,1073741824,1024.00,65536,1.00,58.36,280.85,18.399,3.823,155.593,155.612,329.604,0.001123,0.3213,1.8233,0.1014,0.0249,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT,10,2,20260518_011429
