Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,16777216,1.04,0.24,7.57,3058.405,95.003,13.571,13.074,3085.049,71.125686,0.0008,0.2126,10.3924,2.8780,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_042239
lz4,medium_TTI_100.bin,104857600,100.00,16777216,1.06,0.03,1.36,3026.845,77.338,1.997,1.892,3030.735,432.406438,0.0003,0.0094,29.9664,0.5346,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_042239
snappy,large_TTI_1024.bin,719323136,686.00,16777216,1.03,2.16,7.18,333.423,100.237,13.565,13.107,360.095,7.754015,0.0630,0.0381,10.0632,0.5337,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_042239
snappy,medium_TTI_100.bin,104857600,100.00,16777216,1.05,0.35,1.23,297.075,85.467,2.001,1.903,300.980,42.439314,0.0046,0.0477,3.9780,3.6229,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_042239
cascaded,large_TTI_1024.bin,719323136,686.00,16777216,1.02,4.89,9.04,147.006,79.550,13.548,13.300,173.853,3.418736,0.1742,0.6261,5.5028,6.7049,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_042239
cascaded,medium_TTI_100.bin,104857600,100.00,16777216,1.03,0.75,1.37,138.958,76.440,1.999,1.944,142.901,19.851083,0.0116,0.0550,2.1893,3.1815,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_042239
