Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,medium_TTI_100.bin,104857600,100.00,65536,1.06,5.84,92.58,17.951,1.133,14.934,14.145,47.030,0.011219,0.0524,0.7784,0.1615,0.0096,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
lz4,large_TTI_1024.bin,719323136,686.00,65536,1.04,7.42,147.77,96.991,4.868,104.158,100.318,301.466,0.008837,0.0202,7.5174,0.2637,0.2584,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
snappy,medium_TTI_100.bin,104857600,100.00,65536,1.05,23.81,105.97,4.405,0.990,15.191,14.450,34.046,0.002753,0.0879,2.8985,0.0162,0.0270,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
snappy,large_TTI_1024.bin,719323136,686.00,65536,1.03,26.08,75.27,27.584,9.556,104.270,100.767,232.621,0.002513,0.0505,3.5789,0.0534,0.5152,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
cascaded,medium_TTI_100.bin,104857600,100.00,65536,1.04,55.80,188.51,1.879,0.556,15.174,14.557,31.611,0.001175,0.7601,2.7766,0.0256,0.0082,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
cascaded,large_TTI_1024.bin,719323136,686.00,65536,1.03,61.06,173.54,11.781,4.145,104.273,101.673,217.727,0.001073,0.5688,6.1926,0.1104,0.1583,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
