Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,32768,1.04,11.61,191.33,61.950,3.760,226.366,217.964,506.280,0.002822,0.3065,1.4787,1.7018,0.0289,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_043426
lz4,medium_TTI_100.bin,104857600,100.00,32768,1.06,6.48,90.61,16.180,1.157,30.808,29.172,76.160,0.005056,0.3430,0.4247,0.9868,0.0054,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_043426
snappy,large_TTI_1024.bin,719323136,686.00,32768,1.03,92.57,310.36,7.770,2.318,231.247,223.510,462.527,0.000354,0.4964,1.6901,0.0417,0.0126,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_043426
snappy,medium_TTI_100.bin,104857600,100.00,32768,1.05,76.53,255.15,1.370,0.411,32.876,31.275,65.522,0.000428,1.2729,5.0403,0.0226,0.0084,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_043426
cascaded,large_TTI_1024.bin,719323136,686.00,32768,1.03,122.23,731.57,5.885,0.983,211.151,205.206,422.242,0.000268,0.4404,0.8678,0.0213,0.0012,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_043426
cascaded,medium_TTI_100.bin,104857600,100.00,32768,1.05,110.37,491.77,0.950,0.213,30.530,29.192,60.672,0.000297,0.3912,4.8184,0.0034,0.0021,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_043426
