Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,medium_TTI_100.bin,104857600,100.00,1048576,1.06,1.22,23.48,86.053,4.466,7.200,6.821,100.073,0.860529,0.0053,0.1148,0.3788,0.0218,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
lz4,large_TTI_1024.bin,719323136,686.00,1048576,1.04,6.29,79.95,114.388,8.997,42.179,40.634,197.201,0.166746,0.0567,1.4140,1.0323,0.1613,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
snappy,medium_TTI_100.bin,104857600,100.00,1048576,1.05,6.14,15.14,17.069,6.927,7.134,6.784,30.988,0.170694,0.1243,0.1380,0.3626,0.0632,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
snappy,large_TTI_1024.bin,719323136,686.00,1048576,1.03,17.30,70.99,41.581,10.132,41.714,40.306,123.600,0.060613,0.2720,0.7087,0.6612,0.1023,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
cascaded,medium_TTI_100.bin,104857600,100.00,1048576,1.04,18.70,16.49,5.608,6.360,7.060,6.794,19.462,0.056081,0.7720,0.4120,0.2587,0.1696,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
cascaded,large_TTI_1024.bin,719323136,686.00,1048576,1.02,45.75,77.61,15.722,9.268,42.243,41.314,99.279,0.022918,0.1352,0.9993,0.0463,0.1219,lunaris,RX7900XT,gfx1100,RX7900XT,10,2,20260517_235720
