Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,16384,1.04,16.89,678.86,42.586,1.060,329.168,316.771,688.526,0.000970,0.0528,4.1682,0.1330,0.0065,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_043318
lz4,medium_TTI_100.bin,104857600,100.00,16384,1.06,11.81,230.95,8.879,0.454,30.936,29.280,69.095,0.001387,0.0785,1.0583,0.0591,0.0021,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_043318
snappy,large_TTI_1024.bin,719323136,686.00,16384,1.03,98.59,305.13,7.296,2.357,305.084,294.950,607.331,0.000166,0.3891,3.0483,0.0288,0.0236,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_043318
snappy,medium_TTI_100.bin,104857600,100.00,16384,1.05,89.54,292.13,1.171,0.359,28.286,26.915,56.371,0.000183,2.1089,27.4450,0.0266,0.0441,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_043318
cascaded,large_TTI_1024.bin,719323136,686.00,16384,1.03,124.56,748.61,5.775,0.961,250.094,242.867,498.736,0.000132,0.5253,1.8316,0.0243,0.0024,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_043318
cascaded,medium_TTI_100.bin,104857600,100.00,16384,1.05,115.88,623.68,0.905,0.168,24.108,23.033,48.046,0.000141,0.8071,2.0230,0.0062,0.0005,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_043318
