Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
snappy,medium_TTI_100.bin,104857600,100.00,65536,1.05,23.39,104.55,4.483,1.003,3.866,3.677,12.026,0.002802,0.9082,4.5184,0.1916,0.0466,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
snappy,medium_binary_100.bin,104857600,100.00,65536,2.96,24.51,122.05,4.279,0.859,3.818,1.290,9.387,0.002674,1.0355,7.3396,0.1990,0.0603,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
snappy,medium_random_100.bin,104857600,100.00,65536,0.99,24.10,117.03,4.351,0.896,3.950,3.981,12.281,0.002719,0.9638,5.6342,0.1916,0.0483,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
snappy,medium_zeros_100.bin,104857600,100.00,65536,21.30,24.68,91.62,4.249,1.144,3.782,0.178,8.209,0.002656,1.3787,4.6737,0.2698,0.0654,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
snappy,small_TTI_10.bin,10485760,10.00,65536,1.60,9.25,23.00,1.134,0.456,0.485,0.303,1.921,0.007086,0.3898,0.7301,0.0502,0.0152,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
snappy,small_binary_10.bin,10485760,10.00,65536,2.96,9.75,28.83,1.076,0.364,0.521,0.176,1.773,0.006723,0.3979,0.8794,0.0462,0.0117,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
snappy,small_random_10.bin,10485760,10.00,65536,0.99,9.45,36.97,1.109,0.284,0.515,0.519,2.143,0.006933,0.2866,0.9017,0.0350,0.0071,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
snappy,small_zeros_10.bin,10485760,10.00,65536,21.30,9.55,24.03,1.098,0.436,0.517,0.024,1.639,0.006864,0.4031,0.7700,0.0491,0.0145,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
snappy,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.03,26.72,98.97,148.043,39.973,144.322,139.490,431.855,0.002452,0.0255,0.2640,0.1412,0.1068,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
snappy,xlarge_binary_4096.bin,4294967296,4096.00,65536,2.96,28.15,110.47,152.547,38.878,157.508,53.218,363.274,0.002328,0.0188,0.3003,0.1017,0.1059,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
snappy,xlarge_random_4096.bin,4294967296,4096.00,65536,0.99,27.53,106.55,156.023,40.308,157.634,158.872,472.529,0.002381,0.0230,0.2545,0.1302,0.0962,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
snappy,xlarge_zeros_4096.bin,4294967296,4096.00,65536,21.30,28.88,85.71,148.719,50.111,157.473,7.394,313.586,0.002269,0.0269,0.1888,0.1385,0.1106,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,large_TTI_1024.bin,719323136,686.00,65536,1.03,61.11,176.88,11.770,4.067,26.922,26.250,64.942,0.001072,0.4561,6.2485,0.0889,0.1574,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,large_binary_1024.bin,1073741824,1024.00,65536,3.03,82.52,92.35,13.012,11.626,39.156,12.905,65.074,0.000794,0.3489,0.2657,0.0550,0.0335,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,large_random_1024.bin,1073741824,1024.00,65536,1.00,58.54,279.54,18.341,3.841,39.750,39.755,97.846,0.001119,0.1424,1.5983,0.0446,0.0220,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,large_zeros_1024.bin,1073741824,1024.00,65536,92.04,175.19,40.89,6.129,26.258,39.382,0.428,45.939,0.000374,0.1213,0.1799,0.0042,0.1155,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,medium_TTI_100.bin,104857600,100.00,65536,1.04,53.41,183.93,1.963,0.570,3.915,3.756,9.634,0.001227,3.7096,8.5681,0.1473,0.0286,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,medium_binary_100.bin,104857600,100.00,65536,3.04,66.40,156.01,1.579,0.672,3.800,1.250,6.629,0.000987,4.6220,12.2279,0.1205,0.0577,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,medium_random_100.bin,104857600,100.00,65536,1.00,50.14,325.72,2.091,0.322,4.002,4.003,10.096,0.001307,3.3287,4.6845,0.1457,0.0047,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,medium_zeros_100.bin,104857600,100.00,65536,92.04,144.39,47.47,0.726,2.209,3.844,0.042,4.612,0.000454,7.7627,4.6947,0.0426,0.2488,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,small_TTI_10.bin,10485760,10.00,65536,1.61,28.46,24.01,0.368,0.437,0.521,0.323,1.212,0.002303,1.3208,0.9849,0.0176,0.0180,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,small_binary_10.bin,10485760,10.00,65536,3.04,22.73,52.78,0.461,0.199,0.523,0.172,1.157,0.002883,5.8842,11.1877,0.1420,0.0561,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,small_random_10.bin,10485760,10.00,65536,1.00,22.29,175.86,0.470,0.060,0.516,0.516,1.502,0.002940,5.3113,18.1911,0.1331,0.0072,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,small_zeros_10.bin,10485760,10.00,65536,92.04,76.38,23.78,0.137,0.441,0.513,0.006,0.656,0.000858,2.4311,0.9101,0.0044,0.0169,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.03,59.93,215.16,66.012,18.388,145.187,141.561,352.761,0.001093,0.1458,1.0276,0.1609,0.0883,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,xlarge_binary_4096.bin,4294967296,4096.00,65536,3.04,80.13,128.90,53.597,33.319,158.182,52.023,263.803,0.000818,0.2277,0.4639,0.1524,0.1199,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,xlarge_random_4096.bin,4294967296,4096.00,65536,1.00,57.12,276.51,75.190,15.533,156.017,156.036,387.244,0.001147,0.1701,0.9922,0.2241,0.0558,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
cascaded,xlarge_zeros_4096.bin,4294967296,4096.00,65536,92.04,175.38,54.43,24.490,78.905,156.185,1.697,182.371,0.000374,0.4467,0.0956,0.0624,0.1386,lunaris,Navi 31 [Radeon RX 7900 XT/7900 XTX/7900M],gfx1100,RX7900XT_PINNED,10,2,20260518_012628
