"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"MEMORY_COPY_HOST_TO_DEVICE",6400,51357987,8024.685469,56.00,6494,55563,1184.494299
"MEMORY_COPY_DEVICE_TO_HOST",6400,40356823,6305.753594,44.00,5893,7176,188.743533
