"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"HIP_API",36254,742306525,20475.162051,87.68,40,201965471,1343539.372825
"MEMORY_COPY",12800,91714810,7165.219531,10.83,5893,55563,1207.480287
"KERNEL_DISPATCH",94,12592418,133961.893617,1.49,1323,1174011,309740.075130
