"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"MEMORY_COPY_HOST_TO_DEVICE",6400,57645892,9007.170625,58.75,6494,23773,1878.319852
"MEMORY_COPY_DEVICE_TO_HOST",6400,40480140,6325.021875,41.25,5813,7416,179.407997
