"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 2",1,0,70011,37,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",19973,4572198238505,4572198472185,0,0,4,4,16,256,1,1,122384128,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,38,10,"__amd_rocclr_copyBuffer",19979,4572198938823,4572198943393,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,39,10,"__amd_rocclr_copyBuffer",19982,4572198971455,4572198975464,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",2,2,70011,40,14,"arcto::snap_kernel(void const* const*, unsigned long const*, void* const*, unsigned long const*, arcto::gpu_snappy_status_s*, unsigned long*)",19989,4572199013549,4572200757107,8704,0,40,64,112,128,1,1,204800,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,41,10,"__amd_rocclr_copyBuffer",19995,4572200792265,4572200794590,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,42,10,"__amd_rocclr_copyBuffer",21600,4572206235894,4572206240303,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",2,2,70011,43,12,"arcto::unsnap_kernel(void const* const*, unsigned long const*, void* const*, unsigned long const*, arctoStatus_t*, unsigned long*)",21604,4572206274820,4572206842523,6656,0,64,0,96,192,1,1,307200,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,44,10,"__amd_rocclr_copyBuffer",21612,4572206899410,4572206901975,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,45,10,"__amd_rocclr_copyBuffer",21613,4572206922341,4572206924826,0,0,16,0,32,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,46,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",23224,4572215549370,4572215782889,0,0,4,4,16,256,1,1,122384128,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,47,10,"__amd_rocclr_copyBuffer",23230,4572216257264,4572216262316,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,48,10,"__amd_rocclr_copyBuffer",23233,4572216286890,4572216291060,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",2,2,70011,49,14,"arcto::snap_kernel(void const* const*, unsigned long const*, void* const*, unsigned long const*, arcto::gpu_snappy_status_s*, unsigned long*)",23240,4572216325857,4572218072021,8704,0,40,64,112,128,1,1,204800,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,50,10,"__amd_rocclr_copyBuffer",23246,4572218104854,4572218107340,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,51,10,"__amd_rocclr_copyBuffer",24851,4572223537217,4572223541547,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",2,2,70011,52,12,"arcto::unsnap_kernel(void const* const*, unsigned long const*, void* const*, unsigned long const*, arctoStatus_t*, unsigned long*)",24855,4572223580033,4572224144889,6656,0,64,0,96,192,1,1,307200,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,53,10,"__amd_rocclr_copyBuffer",24863,4572224234528,4572224237094,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,54,10,"__amd_rocclr_copyBuffer",24864,4572224257660,4572224260466,0,0,16,0,32,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,55,1,"void thrust::THRUST_200700_400000_NS::hip_rocprim::__parallel_for::kernel<256u, thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, 1u>(thrust::THRUST_200700_400000_NS::hip_rocprim::__uninitialized_fill::functor<thrust::THRUST_200700_400000_NS::device_ptr<unsigned char>, unsigned char>, unsigned long, unsigned long)",26475,4572232905495,4572233139015,0,0,4,4,16,256,1,1,122384128,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,56,10,"__amd_rocclr_copyBuffer",26481,4572233597194,4572233602125,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,57,10,"__amd_rocclr_copyBuffer",26484,4572233630428,4572233634758,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",2,2,70011,58,14,"arcto::snap_kernel(void const* const*, unsigned long const*, void* const*, unsigned long const*, arcto::gpu_snappy_status_s*, unsigned long*)",26491,4572233670156,4572235407862,8704,0,40,64,112,128,1,1,204800,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,59,10,"__amd_rocclr_copyBuffer",26497,4572235440614,4572235443581,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,60,10,"__amd_rocclr_copyBuffer",28102,4572240832818,4572240837028,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",2,2,70011,61,12,"arcto::unsnap_kernel(void const* const*, unsigned long const*, void* const*, unsigned long const*, arctoStatus_t*, unsigned long*)",28106,4572240871543,4572241438605,6656,0,64,0,96,192,1,1,307200,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,62,10,"__amd_rocclr_copyBuffer",28114,4572241509643,4572241512088,0,0,16,0,32,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 2",1,0,70011,63,10,"__amd_rocclr_copyBuffer",28115,4572241532935,4572241535180,0,0,16,0,32,512,1,1,512,1,1
